ORDER_KEY,ORDER_STATUS,UNITS,DISCNT_VALUE,COST_FIXED,COST_VARIABLE,REVENUE,TIME_BILL_DT,TIME_PAID_DT,PROD_ITEM_KEY,CUST_NUMBER,CUST_NAME,CUST_BIRTH_DT,CUST_CRDT_RATE,CUST_GENDER,CUST_SEGMENT,CUST_MARITAL_STATUS,CUST_TYPE,ADDR_KEY,ADDRESS1,ADDRESS2,POSTAL_CODE,CITY,STATE_PROV,REGION,COUNTRY_CODE,COUNTRY_NAME,AREA,CHANNEL_NAME,PROD_BRAND,PROD_LOB,PROD_TYPE,PRODUCT,PROD_ITEM_DSC
3106426,3-Shipped,18,0,75.2,342.49,340.15,12-Apr-13,1-Jun-13,1276,4237,Amy Leather,14-Feb-57,633,M,Active Singles,Divorced,TYPE 2,6976,5,Buford Hwy Ne #3,KW11556,Kuwait City,,EMEA,KWT,Kuwait,Middle East,Catalog,FunPod,Digital,Camera,7 Megapixel Digital Camera,DigiTech Camera Sensor V124Pink
192629,3-Shipped,4,0.39,3.41,16.51,21.56,21-Feb-11,6-Apr-11,796,2740,Aubrey Lewis,25-Aug-89,694,M,Active Singles,Divorced,TYPE 1,7864,767,9th Ave Sw,FI11405,Helsinki,,EMEA,FIN,Finland,Northern,Store,HomeView,Services,Maintenance,Maintenance,DigiTech Wifi Router Cable T500 White
3555879,3-Shipped,11,74.73,417.54,1443.2,1990.89,28-Sep-13,10-Nov-13,1065,1044,James Hutchinson,16-Jun-68,718,M,Baby Boomers,Divorced,TYPE 3,11696,97539,Connecticut Ave Nw #3586,RU151696,Sankt-Peterburg,,APAC,RUS,Russia,North,Reseller,FunPod,Digital,Camera,7 Megapixel Digital Camera,7 Megapixel Digital Camera X600 Pink
738893,1-Booked,12,2.87,29.3,67.58,58.38,15-Mar-12,21-Apr-12,832,4157,Charlie Halsey,30-Jul-83,800,M,Active Singles,Divorced,TYPE 2,11694,2,New Brooklyn Rd,RU126488,Yaroslavl,,APAC,RUS,Russia,North,Reseller,FunPod,Games,Portable,PocketFun ES,DigiTech Touch XBox T400 Grey
3426295,5-Paid,21,31.26,126.24,919.93,1111.03,28-Jul-13,28-Aug-13,904,6937,Mekong Odyssey,30-Oct-68,747,M,Rural based,Married,TYPE 4,1113,,KENTISH TOWN ROAD,NW5 2,London,EN,EMEA,GBR,United Kingdom,Northern,Online,HomeView,Services,Maintenance,Maintenance,KeyMax 60Gb Portable Drive P400Silver
1775343,4-Billed,13,3.57,95,12.68,95.47,29-Jul-11,9-Sep-11,1296,5747,Bianca Tester,1-Jun-55,616,M,Active Singles,Divorced,TYPE 1,13707,470,W Irving Park Rd,CO11655,Bogot,,AMERICAS,COL,Colombia,Central,Online,HomeView,Services,Maintenance,Maintenance,DigiTech USB Cable E563 Black
1558661,9-On Hold,6,11.96,15.47,66.06,195.16,26-Jul-11,27-Aug-11,742,6976,Anthony Ginnis,17-Jun-83,803,M,Rural based,Single,TYPE 3,13252,71089,Queens Blvd,CU101570,Havana,,AMERICAS,CUB,Cuba,Central,Store,FunPod,Games,Portable,MaxiFun 2000,CompCell LaserJet Sharp Series E290 Green
3326261,3-Shipped,10,0,442.92,1220.38,2003.23,16-Jul-13,21-Aug-13,1170,6142,Sophie Keay,1-Aug-84,819,M,Rural based,Married,TYPE 3,9838,446,Woodward Ave #1,AZ11625,Baku,,EMEA,AZE,Azerbaijan,Eastern,Store,HomeView,TV,LCD,LCD HD Television,FinFlex Moviemaker1/3'' 8.5mm M200 White
2436290,4-Billed,13,17.93,151.14,119.04,953.91,5-Dec-11,15-Jan-12,1475,7869,Jared Hines,1-Sep-71,714,M,Seniors,Married,TYPE 2,5403,56,Tank Farm Rd,LB151597,Beirut,,EMEA,LBN,Lebanon,Middle East,Reseller,BizTech,Communication,Smart Phones,Touch-Screen T5,PhoneCell Touch Screen 6-LINE SCREEN M21 Black
2346096,9-On Hold,6,1.1,2.35,9.71,29.66,23-Nov-11,9-Jan-12,767,6791,Danielle Coover,29-Aug-56,820,M,Active Singles,Divorced,TYPE 1,2164,,OXFORD ST,2010,Sydney,NSW,APAC,AUS,Australia,South,Store,FunPod,Games,Portable,PocketFun ES,DigiTech Touch XBox T400 Black
3737777,3-Shipped,11,13.54,24.54,239.6,256.33,3-Dec-13,13-Jan-14,822,5672,Nicolas Sarmiento,24-Apr-91,608,M,Baby Boomers,Widow,TYPE 2,9476,76542,W Bijou St,SA11505,Riyadh,,EMEA,SAU,Saudi Arabia,Middle East,Online,HomeView,Services,Install,Install,DigiTech Enhanced Batter 220W Grey
2414987,3-Shipped,6,3,12.74,69.95,80.34,18-Dec-11,28-Jan-12,941,7685,Farmers Insuranced,3-Apr-58,699,M,Baby Boomers,Married,TYPE 3,8951,1,S Maryland Pky,SL101609,Honiara,,APAC,SLB,Solomon Islands,East,Reseller,FunPod,Games,Portable,PocketFun ES,KeyMax PCI Adaptor E903 Silver
2459555,3-Shipped,4,0.43,2.4,10.69,15.18,6-Nov-11,20-Dec-11,759,4655,Dan Eisenberg,31-Jul-69,617,M,Others,Widow,TYPE 2,7862,9,Gunnison St,ES176479,Mlaga,,EMEA,ESP,Spain,Europe,Online,HomeView,Services,Install,Install,DigiTech 60W F440 Black
74934,2-Fulfilled,4,3.76,15.97,15.54,100.77,21-Jan-11,10-Mar-11,673,7346,Avery Gladstone,3-Apr-68,757,M,Students,Married,TYPE 4,3681,65,DAVIES STREET,W1K 5,London,EN,EMEA,GBR,United Kingdom,Northern,Store,FunPod,Games,Portable,MaxiFun 2000,CompCell Laser Jet Gamer FX300 Grey
3370885,3-Shipped,5,12.52,95.1,742.49,889.35,8-Aug-13,12-Sep-13,693,414,May Felton,23-Jan-90,630,M,Baby Boomers,Single,TYPE 1,8410,171,E 24th St,HN11588,Tegucigalpa,,AMERICAS,HND,Honduras,Central,Reseller,BizTech,Electronics,Accessories,Bluetooth Adaptor,CompCell Plain Paer Copier X300Grey
3432223,5-Paid,9,0,151.58,1273.38,1417.52,22-Aug-13,28-Sep-13,646,6686,Dick Bernard,10-Apr-64,649,M,Active Singles,Married,TYPE 1,11489,41,E Jackson St,RU11696,Sankt-Peterburg,,APAC,RUS,Russia,North,Online,BizTech,Electronics,Accessories,Bluetooth Adaptor,CompCell All in One Laser Jet F400Black
2337090,5-Paid,8,18.59,83.71,469.23,528.32,8-Nov-11,17-Dec-11,1475,2355,Baris Baru,29-Sep-86,680,M,Baby Boomers,Married,TYPE 3,5529,2495,Beach Blvd #557,RU101480,RYAZAN,,APAC,RUS,Russia,North,Store,BizTech,Communication,Smart Phones,Touch-Screen T5,PhoneCell Touch Screen 6-LINE SCREEN M21 Black
324858,4-Billed,4,0.3,2.4,1.93,15.18,8-Mar-11,10-Apr-11,794,2627,Elle Willitzer,9-Jun-64,634,M,Seniors,Married,TYPE 2,8742,84826,Plaza Dr,IR11542,Baghdad,,EMEA,IRQ,Iraq,Middle East,Store,HomeView,Services,Install,Install,DigiTech 60W F440 White
1690829,3-Shipped,5,0,3.94,16.51,24.87,24-Jul-11,2-Sep-11,848,1237,John C,22-Sep-86,690,M,Rural based,Married,TYPE 4,8443,31,Schuyler Ave,FI11405,Helsinki,,EMEA,FIN,Finland,Northern,Store,BizTech,Electronics,Accessories,MP3 Speakers System,DigiTech Portable Speaker E409 Yellow
2396771,5-Paid,13,15.68,105.86,678.09,667.94,21-Nov-11,3-Jan-12,695,8511,Robert Jenkins,28-Jan-68,811,M,Baby Boomers,Widow,TYPE 2,1351,,,DZ11666,Algiers,,EMEA,DZA,Algeria,North Africa,Store,FunPod,Games,Fixed,HomeCoach 2000,CompCell Digital Game FP430Grey
863781,5-Paid,19,31.92,74.75,529.71,500.52,18-Feb-13,30-Mar-13,893,863,Dirk Everrett,28-Jan-65,795,M,Rural based,Widow,TYPE 1,12639,72,N Buckeye Ave,PO11420,Warsaw,,EMEA,POL,Poland,Europe,Store,FunPod,Games,Portable,PocketFun ES,KeyMax Bluetooth Mouse X100 White
2153470,5-Paid,12,12,90.01,532.37,567.89,18-Sep-11,24-Oct-11,642,2107,Abby Conner,14-Dec-89,808,M,Students,Divorced,TYPE 3,12763,95830,Webster Dr,QA11572,Doha,,EMEA,QAT,Qatar,Middle East,Catalog,FunPod,Games,Portable,MaxiFun 2000,CompCell LaserJet SeriesM100 Black
4146365,3-Shipped,13,30.57,106.39,575.43,739.16,3-Dec-12,12-Jan-13,1164,2108,Tom Hilfiger,7-Apr-92,750,M,Others,Divorced,TYPE 1,9203,4129,Abbott Dr,CA206602,Montreal,,AMERICAS,CAN,Canada,North America,Online,FunPod,Games,Portable,PocketFun ES,MaxiFun  1'' 25mm E400 Black
2869387,9-On Hold,12,2.03,5.42,17.59,54.18,26-Aug-12,27-Sep-12,814,4272,Keith Barlow,12-Apr-67,610,M,Active Singles,Divorced,TYPE 1,13645,53597,W Clarendon Ave,PE11541,Lima,,AMERICAS,PER,Peru,South America,Store,FunPod,Games,Fixed,Game Station,SoundX Starter Kit R33 Grey
2252403,5-Paid,13,57.12,161.88,1797.48,1789.57,29-Dec-11,16-Feb-12,1173,436,Solana Odenwalld,10-May-77,630,F,Others,Married,TYPE 2,9286,28220,Park Avenue W,CU101570,Havana,,AMERICAS,CUB,Cuba,Central,Store,BizTech,Electronics,Audio,MicroPod 60Gb,FinFlex Gaming Smart Karaoke1/2'' 3mm E300 White
1899906,9-On Hold,13,121.77,258.2,1994.03,5189.8,8-Sep-11,17-Oct-11,1183,6448,Alexandrine Powell,20-May-64,827,M,Others,Married,TYPE 4,370,,,US10898,Jackson,South Dakota,AMERICAS,USA,United States,North America,Store,HomeView,TV,Plasma,Tungsten E Plasma TV,MaxiFun 2/3'' 17mm X100 White
3169894,2-Fulfilled,11,0,198.12,182.61,944.66,12-May-13,30-Jun-13,1519,877,Jeriico Baute,8-Oct-79,615,M,Active Singles,Single,TYPE 3,2161,57,OXFORD ST,2010,Sydney,NSW,APAC,AUS,Australia,South,Store,BizTech,Communication,Smart Phones,Touch-Screen T5,PhoneCell Touch Screen Unlocked International M800 Gold
3408164,2-Fulfilled,21,0.94,1.39,7.06,24.25,12-Jul-13,27-Aug-13,924,3839,James Hearn,20-Aug-63,715,M,Active Singles,Married,TYPE 2,10383,398,Fort Campbell Blvd #923,JP11675,Nagoya,,APAC,JPN,Japan,East,Online,HomeView,Services,Maintenance,Maintenance,KeyMax USB Charger TX00 Black
1968298,5-Paid,6,1.79,15.16,97.15,95.67,26-Sep-11,10-Nov-11,889,4222,Beniamino Sulfaro,28-Aug-70,686,M,Students,Married,TYPE 4,13511,31,Schuyler Ave,EC101529,Quito,,AMERICAS,ECU,Ecuador,South America,Store,FunPod,Games,Portable,PocketFun ES,DigiTech Optical XBox S70 Silver
3403882,5-Paid,24,0,15.78,122.8,147.58,24-Aug-13,28-Sep-13,817,9141,Diego Bermudez,8-Oct-66,748,M,Urban based,Divorced,TYPE 4,10479,406,E 4th St,RU176480,RYAZAN,,APAC,RUS,Russia,North,Online,BizTech,Electronics,Accessories,MP3 Speakers System,DigiTech Power Speaker P445 Grey
3374082,3-Shipped,10,53.7,61.25,557.34,572.71,31-Aug-13,13-Oct-13,936,1394,Alexa Jimenez,6-Dec-58,646,F,Baby Boomers,Divorced,TYPE 1,14384,53597,W Clarendon Ave,ME11670,Cancun,,AMERICAS,MEX,Mexico,Central,Reseller,FunPod,Games,Fixed,Game Station,KeyMax 10Gb Memory P300Black
2346893,9-On Hold,8,1.41,3.99,18.46,50.26,27-Nov-11,31-Dec-11,780,9610,Andrew Weldon,13-Feb-57,645,M,Rural based,Divorced,TYPE 1,6638,8,Lincoln Way W #6698,JP101579,Nagasaki,,APAC,JPN,Japan,East,Store,HomeView,Services,Install,Install,Car 65W Power Adaptor White
17367,1-Booked,9,0,70.76,217.61,178.56,1-Jan-11,9-Feb-11,869,9675,Mark Williams,28-Apr-57,630,M,Urban based,Single,TYPE 3,10465,81,Us Highway 9,RU126429,Moscow,,APAC,RUS,Russia,North,Store,FunPod,Games,Portable,PocketFun ES,DigiTech Wireless Laser XBox T65 Silver
150590,3-Shipped,13,3.66,40.77,72.91,100.33,19-Jan-11,21-Feb-11,1296,204,George Maguire,21-Aug-75,600,M,Baby Boomers,Married,TYPE 4,14295,79,Runamuck Pl,BR156660,San Paulo,,AMERICAS,BRA,Brazil,South America,Online,HomeView,Services,Maintenance,Maintenance,DigiTech USB Cable E563 Black
1781264,6-Cancelled,6,1.1,4.7,24.28,29.66,20-Aug-11,2-Oct-11,767,9338,Gregory Mcqueen,23-Aug-57,671,M,Baby Boomers,Divorced,TYPE 2,13802,97539,Connecticut Ave Nw #3586,DO11654,Santo Domingo,,AMERICAS,DOM,Dominican Republic,Central,Online,FunPod,Games,Portable,PocketFun ES,DigiTech Touch XBox T400 Black
3937371,3-Shipped,12,92.57,449.61,2279.68,2319.9,25-Sep-12,6-Nov-12,1045,9855,Marzook Albastaki,27-Mar-79,721,M,Urban based,Single,TYPE 5,1291,,,BG11416,Sofia,,EMEA,BGR,Bulgaria,Europe,Online,FunPod,Digital,Camera,7 Megapixel Digital Camera,7 Megapixel Digital Camera X600 Black
2381722,4-Billed,13,19.83,101.25,70.91,638.87,12-Dec-11,26-Jan-12,647,3288,Constanza Valenzuela,21-Jul-54,629,M,Active Singles,Divorced,TYPE 1,5118,302,N 10th St #3896,BR131660,San Paulo,,AMERICAS,BRA,Brazil,South America,Store,BizTech,Communication,Phones,CompCell RX3,CompCell Fax Phone TP300 Black
2466658,4-Billed,8,6.96,288.27,24.28,191.46,1-Dec-11,12-Jan-12,935,4361,Alex Nunez,29-Aug-57,622,M,Active Singles,Divorced,TYPE 1,8099,8,Glenn Way #3,BR121660,Rio De Janeiro,,AMERICAS,BRA,Brazil,South America,Online,FunPod,Games,Fixed,Game Station,KeyMax 10Gb Memory P300Yellow
1458467,4-Billed,5,0,64.43,4.87,40.66,26-Jun-11,12-Aug-11,755,9597,Alissa Gatewood,27-Sep-62,676,M,Active Singles,Divorced,TYPE 2,9413,35,Jefferson Ave,UK11690,Dnipropetrovsk,,EMEA,UKR,Ukraine,Eastern,Reseller,FunPod,Games,Fixed,Game Station,DigiTech Power Adapter PP33 Black
1453559,4-Billed,10,19.06,763.39,65.09,507.04,2-Jun-11,12-Jul-11,660,6674,Jolanda Trm,30-Nov-73,627,M,Others,Married,TYPE 4,13711,5905,S 32nd St,CU11570,Havana,,AMERICAS,CUB,Cuba,Central,Reseller,BizTech,Communication,Phones,CompCell RX3,CompCell DeskJet Plus Printer X450Black
1566383,3-Shipped,6,12.88,30.93,170.01,195.16,5-Aug-11,11-Sep-11,907,8448,Jesus Poves,24-Sep-66,831,M,Baby Boomers,Divorced,TYPE 3,9322,4562,Aurora Ave N,ES151479,Mlaga,,EMEA,ESP,Spain,Europe,Store,HomeView,Services,Maintenance,Maintenance,KeyMax 70GB Portable Disk P300Red
4047943,3-Shipped,13,4.51,13.43,56.34,81.12,18-Nov-12,3-Jan-13,1253,673,Aleenah Alexxa,23-Mar-63,695,M,Active Singles,Divorced,TYPE 1,1525,,,MA151602,Rabat,,EMEA,MAR,Morocco,North Africa,Store,HomeView,Services,Maintenance,Maintenance,DigiTech PowerPack EOS55Silver
1214005,2-Fulfilled,10,0,68.73,88.4,433.7,9-May-11,17-Jun-11,653,844,Haris Syafiq,30-Dec-62,622,F,Active Singles,Married,TYPE 1,14169,50968,Kurtz St #45,CR11665,San Jos,,AMERICAS,CRI,Costa Rica,Central,Store,FunPod,Games,Portable,PocketFun ES,CompCell Photo Gamer X456 Black
3606742,3-Shipped,11,51.71,226.46,894.4,1079.82,12-Sep-13,28-Oct-13,1553,4805,Chandra Buana,24-Aug-58,601,M,Seniors,Divorced,TYPE 2,13410,2,Route 9,BO101661,La Paz,,AMERICAS,BOL,Bolivia,South America,Catalog,BizTech,Communication,Phones,CompCell RX3,PhoneCell GPS Phone 3.5 inch M910 Silver
639780,9-On Hold,9,60.13,82.68,279.84,853.24,26-Feb-12,28-Mar-12,1488,6698,Taylor Grella,11-Feb-55,681,M,Baby Boomers,Married,TYPE 5,7459,2,Ellis Rd,QA11572,Doha,,EMEA,QAT,Qatar,Middle East,Reseller,BizTech,Communication,Smart Phones,Touch-Screen T5,PhoneCell Touch Screen Expert M400 Grey
806431,3-Shipped,14,60.09,567.9,1963.34,2461.66,15-Jan-13,23-Feb-13,1081,9210,Tom Noaks,14-Jan-89,754,M,Active Singles,Single,TYPE 3,7355,35983,Daubert St,UK11689,Odesa,,EMEA,UKR,Ukraine,Eastern,Store,FunPod,Digital,Camera,7 Megapixel Digital Camera,DigiTech Camera SLR Alpha C600Silver
481568,6-Cancelled,4,3.99,15.97,81.61,100.77,23-Mar-11,10-May-11,677,4587,Myles Walter,27-Oct-64,809,M,Students,Married,TYPE 3,9039,82,Tremont St #4,HK176508,Eastern,,APAC,HKG,Hong Kong,South,Catalog,FunPod,Games,Fixed,HomeCoach 2000,CompCell Fax Ninja FT300Grey
2765541,4-Billed,10,7.79,83.33,48.14,415.3,17-May-12,22-Jun-12,689,9535,Elena Trujillo,26-May-88,823,M,Seniors,Divorced,TYPE 4,7422,19,Court St,LT11560,Vilnius,,EMEA,LTU,Lithuania,Eastern,Online,BizTech,Communication,Phones,CompCell RX3,CompCell DeskJet Plus Printer X450Grey
2924743,9-On Hold,12,0,50.96,162,507.88,20-Jul-12,24-Aug-12,711,5255,Taylor Cieslik,9-Jun-68,660,M,Active Singles,Divorced,TYPE 1,9409,4,Brookcrest Dr #7786,UK11693,Kharkiv,,EMEA,UKR,Ukraine,Eastern,Store,FunPod,Games,Portable,PocketFun ES,CompCell Photo Gamer X456 White
443035,3-Shipped,6,1.41,3.92,21.37,24.78,14-Mar-11,20-Apr-11,747,6847,Pavel Papa,9-Mar-90,709,M,Urban based,Married,TYPE 2,11985,660,N Green St,LB101629,Tripoli,,EMEA,LBY,Libya,North Africa,Reseller,FunPod,Games,Portable,PocketFun ES,DigiTech Mousepad Bundle 34Black
2860859,3-Shipped,12,9.2,27.97,99.98,139.37,31-Aug-12,16-Oct-12,779,1869,Karla Posadas,1-Apr-58,642,M,Active Singles,Married,TYPE 1,8310,8,2nd St,BR146660,Rio De Janeiro,,AMERICAS,BRA,Brazil,South America,Store,HomeView,Services,Install,Install,DigiTech Camera Adapter Z612 White
3810480,9-On Hold,12,16.99,45.35,152.74,451.87,7-Sep-12,21-Oct-12,729,9704,Adrian Quintero,15-Dec-64,800,M,Active Singles,Widow,TYPE 2,1165,379,CALEDONIAN ROAD,N7 9,London,EN,EMEA,GBR,United Kingdom,Northern,Store,FunPod,Games,Portable,MaxiFun 2000,CompCell Jet Gamer S300Green
2695165,2-Fulfilled,12,5.35,30.13,21.29,150.15,12-May-12,26-Jun-12,900,25,Dave Hutches,1-Oct-91,700,M,Urban based,Single,TYPE 2,14832,5,France Ave S,NI101538,Managua,,AMERICAS,NIC,Nicaragua,Central,Store,FunPod,Games,Portable,PocketFun ES,KeyMax Keyboard K10 White
771521,9-On Hold,9,14.07,85.44,306.17,881.68,23-Mar-12,26-Apr-12,1499,2480,Dick Bernard,16-Mar-59,611,M,Active Singles,Divorced,TYPE 1,3113,5,LENOX WAY,94127,San Francisco,California,AMERICAS,USA,United States,North America,Catalog,BizTech,Communication,Smart Phones,Touch-Screen T5,PhoneCell Touch Screen Unlocked International M800 White
4164806,3-Shipped,8,4.55,26.85,128.77,186.61,15-Dec-12,2-Feb-13,1286,6089,Samantha Paige,10-Sep-56,706,M,Active Singles,Divorced,TYPE 2,2007,,ALEXANDRA ST,2110,Sydney,NSW,APAC,AUS,Australia,South,Online,HomeView,TV,LCD,LCD 36X Standard,DigiTech LCD Charger 4AA Black
1515535,4-Billed,6,8.45,236.52,18.46,149.24,11-Jul-11,12-Aug-11,679,6583,Mallory Nox,2-Oct-58,603,M,Active Singles,Widow,TYPE 2,9960,42741,Anania Dr,DE176478,Duisburg,,EMEA,DEU,Germany,Europe,Store,FunPod,Games,Portable,MaxiFun 2000,CompCell Ink Ject Gun F300 E100 Grey
3460365,1-Booked,21,146.09,271.83,15032.85,2592.22,24-Sep-13,29-Oct-13,1134,141,Fred Brouwer,9-Feb-78,615,M,Students,Married,TYPE 2,6767,171,E 24th St,DE176489,Frankfurt Am Main,,EMEA,DEU,Germany,Europe,Store,FunPod,Digital,Camera,MPEG4 Camcorder,FinFlex Digital Camera D3109 Blue
1499953,4-Billed,5,9.11,729.91,63.49,484.93,17-Jun-11,30-Jul-11,1086,5356,Dylan Jewett,11-Feb-56,608,M,Active Singles,Divorced,TYPE 1,8084,72984,W 1st St,AR176700,La Plata,,AMERICAS,ARG,Argentina,South America,Catalog,FunPod,Digital,Camera,7 Megapixel Digital Camera,DigiTech Camera SLR Alpha M143 Grey
803918,4-Billed,26,9.71,37.72,29.43,234.56,1-Jan-13,1-Feb-13,870,6871,Ivan Poma,22-Jun-63,755,M,Rural based,Single,TYPE 1,7881,4373,Washington St,AR176699,Lomas De Zamora,,AMERICAS,ARG,Argentina,South America,Store,FunPod,Games,Portable,PocketFun ES,DigiTech Wireless Laser XBox T44 Black
3629951,4-Billed,11,37.18,228.52,126.65,1198.6,23-Dec-13,28-Jan-14,1488,349,Marvel Lickey,25-Jun-94,665,M,Seniors,Single,TYPE 3,8977,1456,Hill Rd,HR101415,Zagreb,,EMEA,HRV,Croatia,Europe,Store,BizTech,Communication,Smart Phones,Touch-Screen T5,PhoneCell Touch Screen Expert M400 Grey
1675196,4-Billed,6,17.65,99.48,71.43,627.86,22-Jul-11,4-Sep-11,1127,2680,Mauri Mansfield,2-May-55,720,M,Urban based,Single,TYPE 2,6345,297,8th Ave S #9,NO11404,Oslo,,EMEA,NOR,Norway,Northern,Store,FunPod,Digital,Camera,MPEG4 Camcorder,FinFlex Camera D3200 Gold
2121598,2-Fulfilled,9,46.92,93.04,89.38,587.02,17-Sep-11,3-Nov-11,676,6193,Jeff Gold,27-Sep-84,842,M,Rural based,Single,TYPE 1,7581,82136,Post Rd,UZ101676,Tashkent,,APAC,UZB,Uzbekistan,West,Online,BizTech,Communication,Phones,CompCell RX3,CompCell Fax Phone TX00 White
3588232,3-Shipped,20,124.74,363.23,3551.42,3796.51,28-Oct-13,7-Dec-13,705,669,Paul Stockman,20-Mar-64,600,M,Urban based,Widow,TYPE 5,11873,68,Camden Rd,JP11589,Nagoya,,APAC,JPN,Japan,East,Online,BizTech,Communication,Phones,CompCell RX3,CompCell Fax Phone P800 White
510094,3-Shipped,9,3.89,20.77,74.06,103.44,26-Jan-12,6-Mar-12,896,6089,Samantha Paige,10-Sep-56,706,M,Active Singles,Divorced,TYPE 2,13762,2,W Henrietta Rd #6,ME101654,Tijuana,,AMERICAS,MEX,Mexico,Central,Store,FunPod,Games,Portable,PocketFun ES,KeyMax USB Keyboard E90 White
1033289,3-Shipped,11,0,207.83,1240.59,1330.14,27-Apr-11,29-May-11,1198,2341,Cee Nguyen,3-Oct-74,613,M,Others,Divorced,TYPE 3,10151,70086,Division St #3,JP11525,Tokyo,,APAC,JPN,Japan,East,Store,BizTech,Electronics,Audio,MicroPod 60Gb,FinFlex Gaming Smart Karaoke1/3'' 8.5mm E200 Grey
604926,4-Billed,9,0,9.59,4.62,47.81,17-Feb-12,20-Mar-12,781,8131,Andrew Minto,15-Oct-59,704,M,Students,Divorced,TYPE 2,14820,53597,W Clarendon Ave,UR11582,Montevideo,,AMERICAS,URY,Uruguay,South America,Store,BizTech,Electronics,Accessories,MP3 Speakers System,DigiTech KeyMax Speaker 34 White
2810366,1-Booked,10,0.66,18.58,42.58,37.02,15-May-12,21-Jun-12,753,6735,Wessel Bruining,3-May-74,615,M,Urban based,Single,TYPE 3,7895,8,Lincoln Way W #6698,DE151691,Munich,,EMEA,DEU,Germany,Europe,Catalog,HomeView,Services,Maintenance,Maintenance,DigiTech Smart Pack SP344Black
2922956,5-Paid,10,0,23.19,111.08,115.61,21-Aug-12,7-Oct-12,840,9470,Aditya Reynaldi,21-Dec-89,803,M,Students,Married,TYPE 4,12382,75962,E Drinker St,MU11583,Port Louis,,EMEA,MUS,Mauritius,Africa,Store,FunPod,Games,Fixed,Game Station,DigiTech Cooling Game 3 portsM200 Gold
1979279,3-Shipped,13,97.7,376.4,3087.73,3782.73,30-Sep-11,17-Nov-11,1153,5700,Katsuyama Tugwell,20-May-54,601,M,Active Singles,Divorced,TYPE 1,3237,783,HAIGHT ST,94117,San Francisco,California,AMERICAS,USA,United States,North America,Store,BizTech,Electronics,Audio,MicroPod 60Gb,FinFlex HCL MV 1/2'' 3mm X300 Black
1712265,3-Shipped,12,0,160.41,1049.57,1012.42,11-Jul-11,12-Aug-11,1530,8150,Neil Berry,14-Jul-55,769,M,Urban based,Widow,TYPE 4,1177,87,HOLLOWAY ROAD,N7 8,London,EN,EMEA,GBR,United Kingdom,Northern,Store,BizTech,Communication,Phones,CompCell RX3,PhoneCell GPS Handheld  3.7 inch M630 Black
3382350,5-Paid,12,69.66,820.69,3392.72,3711.85,4-Jul-13,4-Aug-13,1202,407,Zandra Kruger,15-Dec-87,645,M,Active Singles,Single,TYPE 1,10944,77818,Prince Drew Rd,IR11513,Dublin,,EMEA,IRL,Ireland,Northern,Reseller,BizTech,Electronics,Audio,MicroPod 60Gb,FinFlex HCL MV 1/3'' 8.5mm X200 Grey
3470993,5-Paid,18,41.68,465.83,1839.83,2221.13,28-Oct-13,13-Dec-13,1510,252,Raphaela Foreman,11-Nov-69,730,F,Students,Divorced,TYPE 1,9550,1,Jenks Ave,MA101602,Rabat,,EMEA,MAR,Morocco,North Africa,Store,FunPod,Digital,Camera,MPEG4 Camcorder,PhoneCell Touch Screen without camera E100 Gold
3141989,1-Booked,10,38.77,761.03,1661.29,1376.79,20-Jun-13,6-Aug-13,1148,6277,Alysia Abell,5-Feb-59,610,F,Active Singles,Divorced,TYPE 1,9725,8,S Plaza Dr,IS101598,Jerusalem,,EMEA,ISR,Israel,Middle East,Store,BizTech,Electronics,Audio,MicroPod 60Gb,FinFlex Gaming Karaoke 1'' 25mm E400 Black
1536755,1-Booked,12,1.48,8.36,643.13,105.52,24-Jul-11,29-Aug-11,792,5491,Themba Bonakele,4-Jul-72,828,M,Rural based,Divorced,TYPE 1,6847,1,Wyckoff Ave,SR11418,Belgrade,,EMEA,SRB,Serbia,Europe,Store,HomeView,Services,Install,Install,DigiTech Enhanced Batter 220W White
3635983,3-Shipped,32,23.94,93.75,258.57,424.04,6-Dec-13,24-Jan-14,1248,846,Goddard Kelley,10-Jun-63,600,F,Active Singles,Divorced,TYPE 1,4228,210,PITT ST,2000,Sydney,NSW,APAC,AUS,Australia,South,Store,HomeView,Services,Maintenance,Maintenance,DigiTech Power Pack 7445 Black
2646838,5-Paid,10,0,8.37,37.03,41.69,9-May-12,8-Jun-12,747,4340,Irfan Muhammad,7-May-77,782,M,Active Singles,Single,TYPE 2,4148,50,BRIDGE ST,2000,Sydney,NSW,APAC,AUS,Australia,South,Store,FunPod,Games,Portable,PocketFun ES,DigiTech Mousepad Bundle 34Black
140583,3-Shipped,8,10.78,91.02,388.59,574.39,5-Jan-11,24-Feb-11,661,2809,Bianca Buice,11-Dec-62,745,M,Active Singles,Divorced,TYPE 2,13339,50638,Northwest Blvd,GT101520,Guatemala City,,AMERICAS,GTM,Guatemala,Central,Online,BizTech,Electronics,Accessories,Bluetooth Adaptor,CompCell DraftMaster SX Plotter 300
105565,2-Fulfilled,13,35.49,199.66,783.71,2520.43,2-Jan-11,6-Feb-11,1052,3680,Mario Nunez,7-Nov-64,779,M,Others,Widow,TYPE 2,6879,1,El Camino Real #603,SA126505,Riyadh,,EMEA,SAU,Saudi Arabia,Middle East,Store,FunPod,Digital,Camera,MPEG4 Camcorder,FinePix SLR ST137 Grey
